# Pearson correlation coefficients: Google Trends indices vs monthly overseas visitor arrivals,# Source: Stats NZ International Travel (April 2026); Google Trends (fetched 10 July 2026),"# Computed by: Dr Yuqian Zhang, 10 July 2026","# Method: Pearson product-moment correlation, no numpy/pandas dependency"
period,n_months,date_range,r_travel,r_tourism,r_holiday,r_composite
Full sample,121,2016-04 to 2026-04,0.137,0.1893,0.7071,0.4415
Pre-COVID,47,2016-04 to 2020-02,0.0072,-0.6177,0.625,0.2336
During COVID,24,2020-03 to 2022-02,0.9141,0.1744,0.3079,0.86
Recovery,50,2022-03 to 2026-04,-0.2132,-0.1515,0.3659,-0.0418
Post-recovery (stabilised),37,2023-04 to 2026-04,0.3718,-0.098,0.5404,0.4244
