# Spot Bitcoin and Ether ETF Cumulative Net Flows (as of 9 July 2026)
# Author: Dr Yuqian Zhang, 10 July 2026
# Sources: Farside Investors (farside.co.uk/btc; farside.co.uk/eth); SEC filings
# Notes: Flows in USD millions. Negative values indicate net outflows.
fund,ticker,issuer,cumulative_net_flows_usd_millions,notes
iShares Bitcoin Trust,IBIT,BlackRock,60199,Largest spot Bitcoin ETF by AUM
Fidelity Wise Origin Bitcoin Fund,FBTC,Fidelity,10223,
Grayscale Bitcoin Mini Trust,BTC,Grayscale,2471,Lower-fee companion to GBTC
Bitwise Bitcoin ETF,BITB,Bitwise,1977,
ARK 21Shares Bitcoin ETF,ARKB,ARK/21Shares,1251,
VanEck Bitcoin ETF,HODL,VanEck,1127,
Other Bitcoin ETFs (combined),,Various,1327,BTCO; EZBC; BRRR; BTCW; MSBT
Grayscale Bitcoin Trust,GBTC,Grayscale,-27279,Legacy conversion; 1.5% fee; persistent outflows
TOTAL,,,51300,
